slug,nazwa,url,status_rynkowy,cena_od_pln,liczba_wersji,dostepnosc,gwarancja_pojazdu,gwarancja_baterii,prog_soh,liczba_salonow,stan_danych
baic-3,BAIC 3 LUXURY,https://nowoczesneauta.pl/modele/baic-3/,official_pl_current,74900,1,,5 lat / 100 000 km,,,47,2026-09-13
baic-5,BAIC 5 BUSINESS,https://nowoczesneauta.pl/modele/baic-5/,official_pl_current,97900,2,,5 lat / 100 000 km,,,47,2026-09-13
baic-7,BAIC 7,https://nowoczesneauta.pl/modele/baic-7/,official_pl_current,136000,1,,5 lat / 100 000 km,,,47,2026-09-13
baw-212,BAW 212,https://nowoczesneauta.pl/modele/baw-212/,official_pl_current,174500,1,oficjalna oferta w Polsce; stan 2026-09-13,3 lata / 100 000 km,,,3,2026-09-13
baw-light-truck,BAW Light Truck,https://nowoczesneauta.pl/modele/baw-light-truck/,official_pl_current,89900,3,oficjalna oferta w Polsce; stan 2026-09-13,3 lata / 100 000 km,,,3,2026-09-13
baw-pony,BAW Pony,https://nowoczesneauta.pl/modele/baw-pony/,official_pl_current,69900,2,oficjalna oferta w Polsce; stan 2026-09-13,3 lata / 100 000 km w ofercie BAW; warunki dla egzemplarza do potwierdzenia,5 lat — limit przebiegu do potwierdzenia,,3,2026-09-13
bestune-b70,Bestune B70,https://nowoczesneauta.pl/modele/bestune-b70/,official_pl_current,99900,2,2026-09-13,5 lat / 150 000 km,,,29,2026-09-13
bestune-t77,Bestune T77,https://nowoczesneauta.pl/modele/bestune-t77/,official_pl_current,89900,3,2026-09-13,5 lat / 150 000 km,,,29,2026-09-13
bestune-t90,Bestune T90,https://nowoczesneauta.pl/modele/bestune-t90/,official_pl_current,109900,3,2026-09-13,5 lat / 150 000 km,,,29,2026-09-13
bj30,BAIC BJ30,https://nowoczesneauta.pl/modele/bj30/,official_pl_current,169500,2,,5 lat / 100 000 km,,,47,2026-09-13
bj40,BAIC BJ40,https://nowoczesneauta.pl/modele/bj40/,official_pl_presale,219900,1,oficjalna przedsprzedaż według karty importera; termin odbioru do ustalenia dla egzemplarza,5 lat / 100 000 km,,,47,2026-09-13
bj60,BAIC BJ60 FLAGSHIP,https://nowoczesneauta.pl/modele/bj60/,official_pl_current,276900,1,,5 lat / 100 000 km,,,47,2026-09-13
byd-atto-2,BYD ATTO 2,https://nowoczesneauta.pl/modele/byd-atto-2/,official_pl_current,129900,3,,6 lat / 150 000 km,8 lat / 250 000 km — deklaracja BYD; dostępny PDF: 200 000 km,70% — próg w PDF warunków,47,2026-09-13
