"id","model_slug","model_url","observed_at","effective_from","category","kind","materiality","confidence","title","summary","before","after","editorial_note","source_label","source_reference","reviewed_at"
"2026-09-25-omoda-5-hybrid-rabat-6600","omoda-5-hybrid","https://nowoczesneauta.pl/modele/omoda-5-hybrid/","2026-09-25","2026-09-01","promotion","changed","high","confirmed","Omoda 5 Hybrid: rabat rośnie do 6600 zł, Comfort za 112 900 zł","Cennik z 1 września 2026 dla aut wyprodukowanych w 2026 roku obniża obie wersje hybrydy o 6600 zł: Comfort kosztuje 112 900 zł, Premium 129 900 zł. Ceny katalogowe bez zmian (119 500 i 136 500 zł), a importer nie podał daty końca promocji.","Cennik z 1 czerwca 2026 dawał rabat 3000 zł tylko na auta z 2025 roku wydane do 30 czerwca 2026: Comfort 116 500 zł, Premium 133 500 zł. Po tej dacie ceny katalogowe wynosiły 119 500 i 136 500 zł.","Cennik z 1 września 2026 daje rabat 6600 zł każdemu kupującemu auto z 2026 roku: Comfort 112 900 zł, Premium 129 900 zł. Dodatkowe 4000 zł tylko za oddanie starego auta, ubezpieczenie za 1 zł do 30 września 2026.","Datę 30 września 2026 importer podaje tylko dla ubezpieczenia za 1 zł i przykładów finansowania — dla cen promocyjnych daty końca nie ma, dlatego jej nie podajemy.","Zestawienie oferty Omody 5 Hybrid, 25 września 2026","omoda-jaecoo/omoda-5-hybrid/oferta-2026-09-25.md","2026-09-25"
"2026-09-25-omoda-7-comfort-wyprzedany","omoda-7","https://nowoczesneauta.pl/modele/omoda-7/","2026-09-25","2026-09-01","versions","removed","high","confirmed","Omoda 7: Comfort wyprzedany, gama zaczyna się od Luxury za 167 900 zł","Cennik z 1 września 2026 oznacza wersję Comfort (169 900 zł) jako wyprzedaną. Najtańsza do zamówienia jest Luxury: 167 900 zł po rabacie 12 000 zł dla każdego kupującego, przy katalogu 179 900 zł. Premium kosztuje 184 900 zł bez rabatu.","3 wersje: Comfort 169 900 zł, Luxury 179 900 zł i Premium 184 900 zł — bez cen promocyjnych w cennikach z marca i czerwca 2026.","2 wersje do zamówienia: Luxury 167 900 zł po rabacie 12 000 zł (katalog 179 900 zł) i Premium 184 900 zł bez rabatu; Comfort wyprzedany.","Cenę modelu podajemy jako najniższą dostępną dla każdego kupującego — bez rabatów za finansowanie marki (5000 zł) i oddanie starego auta (4000 zł) ani wartości ubezpieczenia za 1 zł. Cennik nie podaje daty końca ceny promocyjnej.","Zestawienie oferty Omody 7 w Polsce, stan na 25 września 2026","omoda-jaecoo/omoda-7/oferta-2026-09-25.md","2026-09-25"
"2026-09-25-jaecoo-7-hybrid-promocja","jaecoo-7-hybrid","https://nowoczesneauta.pl/modele/jaecoo-7-hybrid/","2026-09-25","2026-09-01","promotion","added","medium","confirmed","Jaecoo 7 Hybrid: pierwszy znany rabat gotówkowy 5000 zł na obie wersje","Cennik z 1 września 2026 wprowadził rabat gotówkowy 5000 zł na obie wersje Jaecoo 7 Hybrid — Select spadł do 134 900 zł, Exclusive do 144 900 zł. Wcześniejszy cennik z kwietnia miał tylko ubezpieczenie za 1 zł, bez rabatu gotówkowego.","Cennik z 23 kwietnia 2026: Select 139 900 zł, Exclusive 149 900 zł, bez rabatu gotówkowego — jedyną promocją było ubezpieczenie OC/AC i GAP za 1 zł do 30 kwietnia 2026.","Cennik z 1 września 2026: rabat gotówkowy 5000 zł na obie wersje — Select 134 900 zł, Exclusive 144 900 zł, bez dodatkowych warunków.","Hasło „Zyskaj ponad 12 000 zł” dokłada do tych 5000 zł jeszcze 4000 zł za oddanie starego auta (Trade-in) i ubezpieczenie OC/AC oraz GAP za 1 zł — oba dokumenty importera liczą to tak samo, różnią się tylko wyceną samego ubezpieczenia (ok. 3500–3750 zł).","Zestawienie oferty Jaecoo 7 Hybrid, 25 września 2026","omoda-jaecoo/jaecoo-7-hybrid/oferta-2026-09-25.md","2026-09-25"
"2026-09-25-jaecoo-7-super-hybrid-promocja-exclusive","jaecoo-7-super-hybrid","https://nowoczesneauta.pl/modele/jaecoo-7-super-hybrid/","2026-09-25","2026-09-01","promotion","changed","medium","confirmed","Jaecoo 7 Super Hybrid: nowy rabat obejmuje tylko Exclusive","Wiosenny rabat 9000 zł obejmował tak samo obie wersje. Cennik z 1 września 2026 wprowadza inny mechanizm: Select kosztuje teraz katalogowo 159 900 zł bez osobnego rabatu, a Exclusive ma rabat gotówkowy 5000 zł — 164 900 zł zamiast 169 900 zł, z dodatkowym rabatem za oddanie starego auta do 160 900 zł.","Rabat gotówkowy 9000 zł obejmował tak samo obie wersje: Select 150 900 zł, Exclusive 160 900 zł (promocja ważna do 30 kwietnia 2026).","Select bez osobnego rabatu, 159 900 zł. Exclusive z rabatem gotówkowym 5000 zł, 164 900 zł, a z rabatem za oddanie starego auta — 160 900 zł.","Końcowa cena Exclusive z pełnym rabatem (160 900 zł) jest liczbowo taka sama jak wiosną, ale dziś wymaga oddania starego auta w rozliczeniu — wcześniej wystarczył sam zakup w oknie promocji.","Zestawienie oferty Jaecoo 7 Super Hybrid, 25 września 2026","omoda-jaecoo/jaecoo-7-super-hybrid/oferta-2026-09-25.md","2026-09-25"
"2026-09-25-omoda-4-pokaz-poznan","omoda-4","https://nowoczesneauta.pl/modele/omoda-4/","2026-09-25","2026-09-03","availability","changed","medium","confirmed","Omoda 4: pokaz w Polsce na Poznań Game Arena, sprzedaż wciąż bez daty","Nowe komunikaty polskiego newsroomu (3 i 21 września 2026) potwierdzają debiut w Barcelonie, premierę w Paryżu i przedpremierowy pokaz w Polsce na Poznań Game Arena (23–25 października 2026 wg organizatora) — przed rozpoczęciem sprzedaży. Data otwarcia sprzedaży w Polsce nadal nieznana.","Zapowiedź mówiła ogólnie o prezentacji Omody 4 w Polsce pod koniec 2026 roku, bez konkretnego miejsca ani daty.","Producent potwierdził przedpremierowy pokaz Omody 4 w Polsce na targach Poznań Game Arena pod koniec października 2026, wyraźnie przed rozpoczęciem sprzedaży; data otwarcia sprzedaży wciąż nie jest znana.","Dokładne dni pokazu (23–25 października) pochodzą od organizatora targów Poznań Game Arena, nie z komunikatu producenta — na stronie modelu oznaczone osobno od faktów potwierdzonych bezpośrednio przez producenta.","Zestawienie oferty i komunikatów Omoda 4, 25 września 2026","rynek-2026/omoda-4/oferta-2026-09-25.md","2026-09-25"
"2026-09-16-mg-hs-phev-euro-ncap-uzupelnienie","mg-hs-phev","https://nowoczesneauta.pl/modele/mg-hs-phev/","2026-09-16","2024-11-13","correction","changed","high","confirmed","MG HS PHEV ma 5 gwiazdek Euro NCAP — w danych brakowało tej oceny","Euro NCAP wymienia wariant PHEV wprost w tabeli ocenianych wersji rodziny HS: 5 gwiazdek, ocena z 13 listopada 2024 roku (90% dorośli, 85% dzieci, 83% piesi i rowerzyści, 74% systemy wspomagające). Karta modelu nie podawała dotąd żadnego wyniku.","Wynik Euro NCAP dla HS PHEV nie był u nas podany — strona modelu nie wspominała o bezpieczeństwie w ogóle.","5 gwiazdek Euro NCAP, ocena z 13 listopada 2024 roku (90/85/83/74%) — wynik opisany w osobnej sekcji strony, z zastrzeżeniem że zderzeniowo testowano lżejszy egzemplarz benzynowy.","Ocena dotyczy jednej platformy HS z dwoma wariantami napędu; tabela wariantów Euro NCAP wymienia PHEV z nazwy, więc przypisujemy mu wynik wprost, ale z zastrzeżeniem różnicy masy (1575 kg testowany egzemplarz benzynowy wobec 1850–1875 kg PHEV).","Zestawienie oferty i wyniku Euro NCAP MG HS PHEV, 16.09.2026","mg/mg-hs-phev/oferta-2026-09-16.md","2026-09-16"
"2026-09-16-mg-hs-promocja-wygasla-cena-katalogowa","mg-hs","https://nowoczesneauta.pl/modele/mg-hs/","2026-09-16","2026-07-01","price","expired","high","confirmed","MG HS: promocja 99 900 zł wygasła, obowiązuje cennik katalogowy od 117 900 zł","Rabat na benzynowego MG HS sięgał 18 000 zł na wejściu do gamy i 15 000 zł na najbogatszej kombinacji; obowiązywał od 1 kwietnia do 30 czerwca 2026 i nie został przedłużony. Nowszego cennika importer nie wydał, a strona modelu zwraca błąd 404 od 2 kwietnia 2026. Ceną odniesienia jest dziś katalog od 117 900 zł.","Cena modelu w rejestrze wynosiła 99 900 zł i pochodziła z promocji zamkniętej 30 czerwca 2026; karty wersji podawały wyłącznie kwoty promocyjne.","Cena modelu to 117 900 zł — katalog wersji Excite ze skrzynią manualną. Wszystkie 4 pozycje cennika zapisane katalogowo: 117 900, 126 900, 128 900 i 137 900 zł.","Promocji bez potwierdzonego przedłużenia nie prezentujemy jako bieżącej oferty. Sprawa jest o tyle nietypowa, że importer nie wydał dla tej odmiany cennika na trzeci kwartał 2026, a strona modelu nie działa od 2 kwietnia 2026 — mimo to nie ma datowanego komunikatu o wycofaniu, więc status rynkowy zostaje utrzymany z ostrzeżeniem, a strona modelu prosi o potwierdzenie dostępności i rocznika w salonie.","Zestawienie oferty MG HS w Polsce, stan na 16 września 2026","mg/mg-hs/oferta-2026-09-16.md","2026-09-16"
"2026-09-16-mg-zs-hybrid-euro-ncap-prawdopodobny","mg-zs-hybrid","https://nowoczesneauta.pl/modele/mg-zs-hybrid/","2026-09-16","2026-09-16","correction","added","high","uncertain","MG ZS Hybrid+: prawdopodobny wynik Euro NCAP — 4 gwiazdki, masa zgodna z wersją Excite","Euro NCAP przypisuje modelowi opisanemu jako „MG ZS Hybrid” 4 gwiazdki (4 grudnia 2024): 75% dorośli, 82% dzieci, 73% piesi i rowerzyści, 76% systemy wspomagające. Masa testowanego egzemplarza (1410 kg) zgadza się dokładnie z wersją Excite, ale tabela wariantów na stronie testu jest pusta.","Ocena Euro NCAP dla MG ZS Hybrid+ była nieznana (pole ncap puste) — strona nie mogła odpowiedzieć na pytanie o bezpieczeństwo tego wariantu napędu.","MG ZS Hybrid+ ma prawdopodobną ocenę 4 gwiazdek Euro NCAP z 4 grudnia 2024 roku — testowany egzemplarz (1410 kg) odpowiada dokładnie wersji Excite z polskiego cennika, choć tabela wariantów na stronie testu pozostaje pusta.","Tabela wariantów Euro NCAP jest pusta w statycznym HTML-u strony testu — przypisanie do tego modelu opiera się na tytule strony i dokładnej zgodności masy z wersją Excite, nie na dosłownym cytacie z tabeli. Benzynowy MG ZS nie ma własnej oceny.","Zestawienie oferty i danych Euro NCAP dla MG ZS Hybrid+, 16 września 2026","mg/mg-zs-hybrid/oferta-2026-09-16.md","2026-09-16"
"2026-09-16-mg3-hybrid-euro-ncap-dodany","mg3-hybrid","https://nowoczesneauta.pl/modele/mg3-hybrid/","2026-09-16","2026-09-16","correction","added","high","confirmed","MG3 Hybrid+: Euro NCAP 4 gwiazdki — testowany egzemplarz to dokładnie ten model","Euro NCAP ocenił MG3 Hybrid+ na 4 gwiazdki (10 września 2025): 74% ochrony dorosłych, 73% dzieci, 81% pieszych i rowerzystów, 69% systemów wspomagających. Testowany egzemplarz (1285 kg) odpowiada dokładnie wersji Standard z polskiego cennika.","Ocena Euro NCAP dla MG3 Hybrid+ była nieznana (pole ncap puste) — strona nie mogła odpowiedzieć na pytanie o bezpieczeństwo tego konkretnego wariantu napędu.","MG3 Hybrid+ ma potwierdzoną ocenę 4 gwiazdek Euro NCAP z 10 września 2025 roku, a testowany egzemplarz (masa własna 1285 kg) odpowiada dokładnie wersji Standard z polskiego cennika.","Najsłabszym punktem testu był mechanizm regulacji fotela kierowcy, który zawiódł w zderzeniu czołowym z częściowym pokryciem — producent poprawił go w produkcji i objął akcją serwisową wcześniej sprzedane egzemplarze. Ocena nie obejmuje wprost benzynowego MG3, mimo wspólnego nadwozia.","Zestawienie oferty i danych Euro NCAP dla MG3 Hybrid+, 16 września 2026","mg/mg3-hybrid/oferta-2026-09-16.md","2026-09-16"
"2026-09-16-mg3-euro-ncap-uzupelnienie","mg3","https://nowoczesneauta.pl/modele/mg3/","2026-09-16","2025-09-10","correction","changed","high","confirmed","MG3 ma 4 gwiazdki Euro NCAP — ocena obejmuje też wersję benzynową","Euro NCAP opublikował ocenę MG3 10 września 2025: 4 gwiazdki (74% dorośli, 73% dzieci, 81% piesi, 69% systemy wspomagające). Badano egzemplarz Hybrid+ o masie 1285 kg, ale tabela wariantów wymienia osobno wersję benzynową jako objętą tym samym wynikiem. Karta modelu nie podawała dotąd żadnej oceny.","Ocena Euro NCAP dla MG3 nie była u nas podana — pole ncap miało wartość pustą.","4 gwiazdki Euro NCAP, ocena z 10 września 2025 (74/73/81/69%), testowany egzemplarz Hybrid+ 1285 kg, wynik dotyczy wprost też wersji benzynowej — opisany w osobnej sekcji strony.","Testowany był egzemplarz hybrydowy, ale tabela wariantów producenta wymienia osobno wersję benzynową jako objętą tą samą oceną — masa własna egzemplarza testowego (1285 kg) zgadza się co do kilograma z masą zapisaną dla MG3 Hybrid+ w naszych danych, co potwierdza przypisanie. Testowany egzemplarz miał usterkę mechanizmu fotela kierowcy, poprawioną przez producenta i objętą akcją serwisową.","Zestawienie oferty i wyniku Euro NCAP MG3, 16 września 2026","mg/mg3/oferta-2026-09-16.md","2026-09-16"
